path	final_owner	source_sha	target_batch	retained_or_rebuilt	removed_or_forbidden	verification	status
internal/ai/runtime/executor/answerability_gate_test.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/context_builders.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/event_consumer.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/intent_human_route.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B8	仅把 need_human 交给现有人工任务池，选人仍走确定性规则派单	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/services/... -run "HumanDispatch|Dispatch|Handoff" -count=1	pending
internal/ai/runtime/executor/intent_model_detector.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/intent_pipeline_test.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/knowledge_guard.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/multi_reply_output.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/executor/multi_reply_output_test.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/instruction/assembler.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/reply_commit_service.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/reply_helpers_test.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/reply_trigger_service.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/ai/runtime/runtime_reply_executor.go	ai-reply-runtime	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-hooks:1e8e95c91307d01a556c83ed43ea500e553e4563	B7	完整移植 Prompt/Schema/Intent/Plan/RAG/Generate/Validate/Commit/Resume/Trace；保留 Tenant 运营事实 hook	删除旧 AIConfig resolver、旧独立 Agent、FAQ fallback 和模型派单	go test ./internal/ai/runtime/... -count=1; ai-billing golden parity	pending
internal/bootstrap/routes.go	shared-bootstrap	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B2-B12	显式注册最终行业、Profile、Credential、Billing、FastGPT、标签、Runtime 路由与 worker；保留 Tenant middleware	旧 AIConfig/Grant/StoreSetting/ConversationTag 路由和废弃 worker 零可达	go test ./internal/bootstrap/... -count=1; 旧接口 404; route static audit	B2-industry-routes-complete@fec989d;B3-profile-routes-complete@843c781;B4-credential-routes-complete@f9eb16f;B5-billing-routes-complete@aad04ab;B6-B12-pending
internal/bootstrap/server.go	shared-bootstrap	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B2-B12	显式注册最终行业、Profile、Credential、Billing、FastGPT、标签、Runtime 路由与 worker；保留 Tenant middleware	旧 AIConfig/Grant/StoreSetting/ConversationTag 路由和废弃 worker 零可达	go test ./internal/bootstrap/... -count=1; 旧接口 404; route static audit	B2-industry-routes-complete@fec989d;B3-profile-routes-complete@843c781;B4-credential-routes-complete@f9eb16f;B5-billing-routes-complete@aad04ab;B6-B12-pending
internal/builders/customer_builder.go	customer-tags	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B9	客户 DTO 继续 Tenant 隔离，并按 StoreCustomerRelation 输出最多 6 个行业标签	ConversationTag 和跨 Store 聚合标签	go test ./internal/builders/... ./internal/services/... -run CustomerTag -count=1	pending
internal/builders/knowledge_builder.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	Tenant+Store FastGPT readiness 和非敏感 Profile 展示	模型密钥、内部模型细节、Company/IntentProfile override	go test ./internal/builders/... ./internal/services/... -run FastGPT -count=1	pending
internal/handlers/api/wxwork_protocol_remote_setup_handler.go	store-credential	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4	现有账号绑定流程与 Store 身份校验；按权限承接门店凭据自助入口	企微实例直接拥有模型/行业/密钥	go test ./internal/handlers/api/... ./internal/services/... -run "Credential|WxWork" -count=1	pending
internal/handlers/dashboard/ai_config_handler.go	model-profile	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B12	仅迁出可复用的 Profile 测试/管理行为到新 handler	物理删除旧 AIConfig handler 和全部旧 API	rg AIConfig legacy routes; old endpoints 404; go test ./internal/handlers/dashboard/...	pending
internal/handlers/dashboard/company_handler.go	tenant-foundation	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563	B12	不保留独立 Company CRUD；Tenant/Store 接口承接最终职责	删除整个旧 Company handler 和页面语义	旧 company CRUD 404; tenant/store acceptance tests	pending
internal/handlers/dashboard/conversation_handler.go	conversation-runtime	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B7-B9	Tenant/Store 会话权限、AI Runtime 操作和 Store 客户标签展示	ConversationTag CRUD、跨租户资源和旧模型入口	go test ./internal/handlers/dashboard/... ./internal/services/... -run "Conversation|CustomerTag" -count=1	pending
internal/handlers/dashboard/fastgpt_dataset_handler.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	Tenant+Store Dataset/Profile provision、sync、readiness	Company scope、企微模型 Profile 和未授权平台细节	go test ./internal/services/... -run FastGPT -count=1	pending
internal/handlers/dashboard/tag_handler.go	customer-tags	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B9	行业固定目录的租户启停/别名、Store 客户标签读写和 6 上限	租户自建、SemanticKey 修改、物理删除、ConversationTag	go test ./internal/services/... -run CustomerTag -count=1; tag action tests	pending
internal/handlers/dashboard/wxwork_protocol_instance_handler.go	store-channel	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4-B6	Tenant+Store 企微身份管理和协议状态；只展示模型名/readiness	企微行业覆盖、企微模型选择、明文密钥和旧 StoreSetting	go test ./internal/handlers/dashboard/... ./internal/services/... -run WxWork -count=1	pending
internal/models/ai_usage_event.go	billing	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B5	Store/Tenant/request ID/模型/人民币金额可归因 Usage 事实	无 Store 归属 usage 和旧 AIConfig 计费身份	go test ./internal/services/... -run Usage -count=1; SQLite/MySQL indexes	B1-schema-added@f024d17;B5-runtime-complete@aad04ab
internal/models/fastgpt_store_tenant.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4-B6	Tenant+Store Dataset/Profile revision、readiness、Credential 同步状态	Company/企微 ownership、密钥回显和双向配置	go test ./internal/services/... -run "StoreModelCredential|FastGPT" -count=1; schema matrix	B1-schema-added@f024d17;B4-credential-sync-guard@f9eb16f;B6-runtime-pending
internal/models/models.go	schema-contract	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B1	Tenant/Store/账号/派单/运营模型，加最终行业、九槽、Assignment、Credential、Billing、FastGPT、行业标签模型	AIConfig、TenantAIModelGrant、StoreAIModelSetting、ConversationTag 及下级行业 override	go test ./internal/bootstrap/... ./internal/migration/... -count=1; SQLite/MySQL fresh+upgrade	B1-contract-complete@f024d17;B12-B14-legacy-removal-pending
internal/pkg/config/config.go	credential-config	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4	统一 NewAPI gateway、Credential 加密主密钥、FastGPT 与 8083 配置	旧 AIConfig 全局密钥、多网关和明文回显配置	go test ./internal/pkg/config/... ./internal/pkg/securex/... -count=1; secret scan	B4-complete@f9eb16f
internal/pkg/config/config_test.go	credential-config	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4	统一 NewAPI gateway、Credential 加密主密钥、FastGPT 与 8083 配置	旧 AIConfig 全局密钥、多网关和明文回显配置	go test ./internal/pkg/config/... ./internal/pkg/securex/... -count=1; secret scan	B4-complete@f9eb16f
internal/pkg/constants/auth.go	permission-contract	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B2-B12	现有全局权限派发制，补行业/Profile/Credential/Billing/标签操作权限	隐藏权限、直接用户权限、旧 Grant/ConversationTag 专属权限	go test ./internal/pkg/constants/... ./internal/handlers/dashboard/... -run Permission -count=1	B2-industry-permissions-complete@fec989d;B3-profile-permissions-complete@843c781;B4-credential-permissions-complete@f9eb16f;B5-billing-permissions-complete@aad04ab;B6-B12-pending
internal/pkg/dto/request/admin_request.go	model-profile	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B3	只承载现有平台 Profile/Store Assignment 管理请求；Credential 与 Billing 使用独立 DTO	AIConfig/Grant/StoreSetting request、Billing 混入通用 admin DTO 和明文 key 返回契约	go test ./internal/services/... -run ModelProfile -count=1	B3-profile-contract-complete@843c781
internal/pkg/dto/request/conversation_request.go	ai-reply-runtime	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B7-B9	Tenant/Store 会话动作和 Store 客户标签 mutation DTO	ConversationTag mutation 和任意 tenant/store ID 越权	go test ./internal/services/... -run "Conversation|CustomerTag" -count=1	pending
internal/pkg/dto/request/fastgpt_dataset_request.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	Store Dataset/Profile/readiness/sync DTO，租户只见业务状态	密钥、平台模型内部字段、Company/IntentProfile override	go test ./internal/services/... -run FastGPT -count=1; pnpm typecheck	pending
internal/pkg/dto/request/wxwork_protocol_instance_request.go	store-channel	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4-B6	企微协议字段、Store 绑定、只读模型名/readiness	行业覆盖、模型授权池、明文凭据和旧 StoreSetting 字段	go test ./internal/services/... -run WxWork -count=1; pnpm typecheck	pending
internal/pkg/dto/response/fastgpt_dataset_response.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	Store Dataset/Profile/readiness/sync DTO，租户只见业务状态	密钥、平台模型内部字段、Company/IntentProfile override	go test ./internal/services/... -run FastGPT -count=1; pnpm typecheck	pending
internal/pkg/dto/response/knowledge_response.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	Store Dataset/Profile/readiness/sync DTO，租户只见业务状态	密钥、平台模型内部字段、Company/IntentProfile override	go test ./internal/services/... -run FastGPT -count=1; pnpm typecheck	pending
internal/pkg/dto/response/wxwork_protocol_instance_response.go	store-channel	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4-B6	企微协议字段、Store 绑定、只读模型名/readiness	行业覆盖、模型授权池、明文凭据和旧 StoreSetting 字段	go test ./internal/services/... -run WxWork -count=1; pnpm typecheck	pending
internal/pkg/fastgpt/gateway.go	fastgpt	ai:4db799363040a4478a5585e101d119de11a26f8e	B6	完整 FastGPT gateway 行为、错误分类、retry 和 usage capture	跨 Store client 复用、隐式默认 Profile 和 secret logging	go test ./internal/pkg/fastgpt/... -count=1	pending
internal/pkg/fastgpt/gateway_test.go	fastgpt	ai:4db799363040a4478a5585e101d119de11a26f8e	B6	完整 FastGPT gateway 行为、错误分类、retry 和 usage capture	跨 Store client 复用、隐式默认 Profile 和 secret logging	go test ./internal/pkg/fastgpt/... -count=1	pending
internal/repositories/ai_manual_resume_task_repository.go	ai-reply-runtime	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B7	AI interrupt/checkpoint/resume 的 Tenant+Store 幂等任务	旧 Agent/AIConfig 解析和跨租户 resume	go test ./internal/services/... -run ManualResume -count=1; runtime golden	pending
internal/repositories/conversation_tag_repository.go	legacy-removal	ai:4db799363040a4478a5585e101d119de11a26f8e + unified-plan	B12	无；客户标签改由 StoreCustomerRelation 关系承载	物理删除文件、repository/service/caller 和 ConversationTag 表	rg ConversationTag returns zero runtime hits; old API 404; schema cleanup	pending
internal/repositories/fastgpt_store_tenant_repository.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	AI 分支 provision/upload/search/sync/retry 行为，重写 Tenant+Store ownership	Company scope、企微模型绑定、旧 Profile fallback	go test ./internal/services/... -run FastGPT -count=1	pending
internal/repositories/fastgpt_usage_sync_state_repository.go	fastgpt	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B6	AI 分支 provision/upload/search/sync/retry 行为，重写 Tenant+Store ownership	Company scope、企微模型绑定、旧 Profile fallback	go test ./internal/services/... -run FastGPT -count=1	pending
internal/repositories/store_customer_relation_repository.go	customer-tags	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B9	行业固定 Tenant 目录、StoreCustomerRelation 标签、人工保护、互斥、append-only change log、最多 6 个	Company-scoped tag、租户自建/改 SemanticKey/物理删除、ConversationTag	go test ./internal/services/... -run CustomerTag -count=1; Store isolation tests	pending
internal/repositories/tag_repository.go	customer-tags	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B9	行业固定 Tenant 目录、StoreCustomerRelation 标签、人工保护、互斥、append-only change log、最多 6 个	Company-scoped tag、租户自建/改 SemanticKey/物理删除、ConversationTag	go test ./internal/services/... -run CustomerTag -count=1; Store isolation tests	pending
internal/repositories/wx_work_protocol_instance_repository.go	store-channel	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B4-B6	Tenant+Store 强约束和企微协议身份；关联 Store readiness	IntentProfileID/model grant/model setting/API key 在企微层覆盖	go test ./internal/services/... -run WxWork -count=1	pending
internal/services/agent_team_scope_service.go	rule-dispatch	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai-handoff:4db799363040a4478a5585e101d119de11a26f8e	B8	现有 Tenant/Store/小组/排班/Presence/容量/公平债务/SLA/stale recovery，接入 need_human	模型选人、AI 评分派单、跨租户候选和重复人工任务	go test ./internal/services/... -run "Dispatch|Handoff|Route|Timeout|AgentTeamScope" -count=1	pending
internal/services/agent_team_scope_service_test.go	rule-dispatch	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai-handoff:4db799363040a4478a5585e101d119de11a26f8e	B8	现有 Tenant/Store/小组/排班/Presence/容量/公平债务/SLA/stale recovery，接入 need_human	模型选人、AI 评分派单、跨租户候选和重复人工任务	go test ./internal/services/... -run "Dispatch|Handoff|Route|Timeout|AgentTeamScope" -count=1	pending
internal/services/ai_manual_resume_task_service.go	ai-reply-runtime	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B7	AI interrupt/checkpoint/resume 的 Tenant+Store 幂等任务	旧 Agent/AIConfig 解析和跨租户 resume	go test ./internal/services/... -run ManualResume -count=1; runtime golden	pending
internal/services/auth_service.go	permission-contract	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B2-B12	Role->Permission 全局派发和 Tenant/Store 数据范围上限	隐藏权限、账号直授权限和跨范围资源访问	go test ./internal/services/... -run "Auth|Permission|Role|StoreModelCredential" -count=1	B4-credential-scope-complete@f9eb16f;B5-B12-pending
internal/services/channel_message_outbox_service.go	ai-reply-runtime	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B7	Tenant+Store 幂等 Commit/Outbox 和现有消息事实 hook	失败 fallback 到旧回复引擎或跨租户发送	go test ./internal/services/... -run Outbox -count=1; runtime golden	pending
internal/services/conversation_handoff_confirmation_service.go	rule-dispatch	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai-handoff:4db799363040a4478a5585e101d119de11a26f8e	B8	现有 Tenant/Store/小组/排班/Presence/容量/公平债务/SLA/stale recovery，接入 need_human	模型选人、AI 评分派单、跨租户候选和重复人工任务	go test ./internal/services/... -run "Dispatch|Handoff|Route|Timeout|AgentTeamScope" -count=1	pending
internal/services/conversation_human_dispatch_service.go	rule-dispatch	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai-handoff:4db799363040a4478a5585e101d119de11a26f8e	B8	现有 Tenant/Store/小组/排班/Presence/容量/公平债务/SLA/stale recovery，接入 need_human	模型选人、AI 评分派单、跨租户候选和重复人工任务	go test ./internal/services/... -run "Dispatch|Handoff|Route|Timeout|AgentTeamScope" -count=1	pending
internal/services/conversation_human_dispatch_service_test.go	rule-dispatch	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai-handoff:4db799363040a4478a5585e101d119de11a26f8e	B8	现有 Tenant/Store/小组/排班/Presence/容量/公平债务/SLA/stale recovery，接入 need_human	模型选人、AI 评分派单、跨租户候选和重复人工任务	go test ./internal/services/... -run "Dispatch|Handoff|Route|Timeout|AgentTeamScope" -count=1	pending
internal/services/conversation_route_service.go	rule-dispatch	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai-handoff:4db799363040a4478a5585e101d119de11a26f8e	B8	现有 Tenant/Store/小组/排班/Presence/容量/公平债务/SLA/stale recovery，接入 need_human	模型选人、AI 评分派单、跨租户候选和重复人工任务	go test ./internal/services/... -run "Dispatch|Handoff|Route|Timeout|AgentTeamScope" -count=1	pending
internal/services/conversation_tag_service.go	legacy-removal	ai:4db799363040a4478a5585e101d119de11a26f8e + unified-plan	B12	无；客户标签改由 StoreCustomerRelation 关系承载	物理删除文件、repository/service/caller 和 ConversationTag 表	rg ConversationTag returns zero runtime hits; old API 404; schema cleanup	pending
internal/services/cronx/cron.go	background-workers	tenant:1e8e95c91307d01a556c83ed43ea500e553e4563 + ai:4db799363040a4478a5585e101d119de11a26f8e	B5-B10	只注册 Tenant/Store 可归因的 FastGPT Usage 与 tag evolution worker、lease/retry	平台 NewAPI Token 扫描、废弃 AIConfig/ConversationTag worker 和无范围扫描	go test ./internal/services/... -run "Evolution|UsageSync" -count=1	B5-platform-billing-worker-removed@aad04ab;B6-fastgpt-rebuild-pending;B10-evolution-pending
internal/services/fastgpt_connector.go	fastgpt	ai:4db799363040a4478a5585e101d119de11a26f8e + tenant-scope:1e8e95c91307d01a556c83ed43ea500e553e4563	B6	保留 AI 分支 FastGPT connector 行为并强制 Tenant+Store Profile/Credential scope	删除 Company scope、旧 AIConfig client 和隐式默认连接	go test ./internal/services/... -run FastGPT -count=1	pending
